claim_id,section_label,claim_text,evidence_kind,source_id,source_path,locator,limitations
"trial-119","tab:results","trial 119: Keywords=56/100；KL=0.031919","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[119]","计数样本分母由归档显示与配置/日志交叉核对"
"trial-line-119","sec:experiments","trial 119 原始配对评分记录","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","line:2163","不可跨候选拼接目标"
"trial-40","tab:results","trial 40: Keywords=100/100；KL=0.000905","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[40]","计数样本分母由归档显示与配置/日志交叉核对"
"trial-line-40","sec:experiments","trial 40 原始配对评分记录","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","line:741","不可跨候选拼接目标"
"baseline","tab:results","未修改基座 Keywords=100/100，KL按定义为0","measured","repo:docs/logs/ara-v1/run.log","docs/logs/ara-v1/run.log","lines:64-65","基座不是Heretic方向消融结果"
"missing-directional","tab:results","本归档没有同协议 Heretic directional 干预结果","missing","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","missing:no-directional-run","不宣称ARA优于Heretic"
"v2-unmeasured","tab:results","trajectory-v2 是当前代码适配，本归档没有实测结果","missing","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","missing:no-trajectory-v2-run","模板不构成运行记录"
"distribution-keywords","tab:distribution","Keywords分位数0.54/0.88/0.98/1.00/1.00","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:quantiles.keywords","搜索候选分布，不作误差棒或显著性检验"
"distribution-kl","tab:distribution","KL分位数来自120候选原值的线性插值","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:quantiles.kl","展示六位小数，原值另存JSON"
"pareto","fig:search","10个Pareto候选，图中展示全部120个候选","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:pareto_trial_numbers","双目标均不大于且至少一项严格更小的支配定义"
"gates","tab:distribution","数值联合通过0/120","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:numerical_gate_count","数值条件不等于完整机器验收"
"phases","tab:distribution","三组候选数为36/44/40，中位数0.990/0.905/0.970，均值0.987/0.878/0.920","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:phase_statistics","分组为展示搜索过程，不是三个独立实验"
"best-layers","sec:experiments","trial66 层区间[16,52)，零起始半开","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].resolved_params",""
"last-mlp","sec:experiments","trial119 MLP原始strength为负，应用值为0","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[119]","零strength跳过优化，不能计求解失败"
"protocol-v1","tab:protocol","本轮BF16无量化设置","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.dtypes","本地模型标签Qwen3.8-27B，model revision未知"
"batch","sec:experiments","本轮有效评估batch为16","measured","repo:docs/logs/ara-v1/run.log","docs/logs/ara-v1/run.log","line:48","评估batch与采集batch分开"
"gpu","sec:experiments","单RTX PRO6000 Blackwell，97887 MiB","measured","repo:docs/logs/ara-v1/gpu-before.csv","docs/logs/ara-v1/gpu-before.csv","line:1","使用归档环境，不用当前主机配置替代"
"resource-final","sec:experiments","末尾allocated VRAM52.05GB，RSS5.47GB，耗时显示2h38m","measured","repo:docs/logs/ara-v1/run.log","docs/logs/ara-v1/run.log","lines:2705-2707","终端时点值不是全程峰值"
"null-scores","sec:discussion","独立audit无评分记录","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:audit_scores","null不是0"
"exit-code","sec:experiments","退出码为0而验收失败","measured","repo:docs/logs/ara-v1/exit-code.txt","docs/logs/ara-v1/exit-code.txt","line:1","进程结束不等同模型通过"
"snapshot-gap","sec:discussion","归档声明运行时包含未提交修复，后续提交不是完整快照","inferred","repo:docs/logs/ara-v1/SUMMARY.md","docs/logs/ara-v1/SUMMARY.md","line:100","历史来源只能解释后续固定版本"
"keyword-metric","sec:experiments","Keywords按规范化字符串匹配，point-v1空回复计命中","implemented","git:868ca73b63e6ceee196a6281c780d6c2dec14a05:src/heretic/scorers/keyword_rate.py","src/heretic/scorers/keyword_rate.py","symbol:_is_match","关键词不是真实语义拒答"
"kl-direction","sec:experiments","首token KL方向为D_KL(base||adapter)，单位nats","implemented","git:868ca73b63e6ceee196a6281c780d6c2dec14a05:src/heretic/scorers/kl_divergence.py","src/heretic/scorers/kl_divergence.py","symbol:get_score","不等价于完整能力保持"
"historical-gate","sec:experiments","历史keyword_drop_min按K0-K绝对差检查","implemented","git:868ca73b63e6ceee196a6281c780d6c2dec14a05:src/heretic/trial_methods.py","src/heretic/trial_methods.py","symbol:validate_gate_records","当K0=1时本次绝对下降与相对下降均0.46"
"current-gate","sec:experiments","v2主验证函数使用相对下降比率","implemented","repo:src/heretic/acceptance.py","src/heretic/acceptance.py","symbol:validate_gate_records",""
"directional","sec:background","方向消融简式限于单位方向及无行归一化模式","implemented","repo:src/heretic/trial_methods.py","src/heretic/trial_methods.py","symbol:_directional_factors","PRE/FULL模式另含变换"
"clean-io","sec:method","从冻结基座采集实际模块I/O，输出不简化为必然无偏置线性输出","implemented","repo:src/heretic/ara.py","src/heretic/ara.py","symbol:capture_module_io","局部代理输入不随全部干预层重新采集"
"point-loss","sec:method","point-v1含尺度、归一化softmin及keep/pull/softplus-push","implemented","git:868ca73b63e6ceee196a6281c780d6c2dec14a05:src/heretic/ara.py","src/heretic/ara.py","symbol:calculate_ara_loss","局部非凸目标，不证明全局收敛"
"g0","sec:method","G0在优化开始时冻结，不逐closure重算","implemented","git:868ca73b63e6ceee196a6281c780d6c2dec14a05:src/heretic/ara.py","src/heretic/ara.py","symbol:optimize_ara_module","分离calculate_ara_loss单独调用的默认回退"
"svd","sec:method","thinQR和小核SVD保持因子乘积，v1双精度分解后转回FP32","implemented","git:868ca73b63e6ceee196a6281c780d6c2dec14a05:src/heretic/ara.py","src/heretic/ara.py","symbol:_canonical_factors","精确算术恒等，实际用相对误差检查"
"reset","sec:adaptation","候选之间完整恢复A/B初始状态","implemented","repo:src/heretic/ara.py","src/heretic/ara.py","symbol:restore_adapter_state",""
"trajectory-position","sec:adaptation","teacher forcing采集预测各token的位置，第一步在prompt末尾","implemented","repo:src/heretic/ara_trajectory.py","src/heretic/ara_trajectory.py","symbol:causal_capture_positions","仅实现证据"
"trajectory-weights","sec:adaptation","每提示的有效步权重按衰减归一化","implemented","repo:src/heretic/ara_trajectory.py","src/heretic/ara_trajectory.py","symbol:prompt_step_weights","最多8步与0.85衰减来自当前模板"
"trajectory-loss","sec:adaptation","v2每步尺度，查询权重汇总，Gram不除G0","implemented","repo:src/heretic/ara_trajectory.py","src/heretic/ara_trajectory.py","symbol:trajectory_loss","不等同v1运行目标"
"deployment","sec:adaptation","good delta是逐行RMS比率的提示权重平均","implemented","repo:src/heretic/ara_trajectory.py","src/heretic/ara_trajectory.py","symbol:_deployment_ratios","检查不等同训练损失"
"v2-config","tab:protocol","v2模板每类校准96条","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.ara_calibration_size","模板及代码均无本轮运行结果"
"export-path","fig:architecture","v2新进程重载暂存适配器并消费audit，检查通过才发布","implemented","repo:src/heretic/acceptance_export.py","src/heretic/acceptance_export.py","symbol:_audit_callback","本轮point-v1未到此路径"
"gate-figure","fig:architecture","本次运行未选定候选，后续分支没有执行结果","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:selected_trial_number","后续Replay/Export checks是协议路径"
"lit-arditi2024","sec:background","方向干预的研究背景来自Arditi等人的论文","external","lit:arditi2024","https://proceedings.neurips.cc/paper_files/paper/2024/hash/f545448535dfde4f9786555403ab7c49-Abstract-Conference.html","external:arditi2024","外部模型成绩不混入本轮结果"
"lit-hu2022lora","sec:background","冻结基座与有限秩增量参数化来自LoRA背景","external","lit:hu2022lora","https://arxiv.org/abs/2106.09685","external:hu2022lora","外部模型成绩不混入本轮结果"
"lit-upstreamara","tab:methods","上游ARA名称和保持/拉近/推远思想有明确归属，同时有全矩阵和LoRA路径","external","lit:upstreamara","https://github.com/p-e-w/heretic/pull/211","external:upstreamara","外部模型成绩不混入本轮结果"
"lit-heretic","sec:introduction","Heretic是方向消融与自动搜索的软件背景","external","lit:heretic","https://github.com/p-e-w/heretic","external:heretic","外部模型成绩不混入本轮结果"
"lit-araarchive","sec:experiments","本轮定量来源限定为ara-v1原始归档","external","lit:araarchive","docs/logs/ara-v1/SUMMARY.md","external:araarchive","外部模型成绩不混入本轮结果"
"python-environment","sec:experiments","归档 Python 3.12.13","measured","repo:docs/logs/ara-v1/python-version.txt","docs/logs/ara-v1/python-version.txt","line:1","使用归档环境，不用当前主机配置替代"
"result-kl-abstract","sec:abstract","trial 66 对应首token KL为0.089975","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].kl","同一次验证集搜索；不是独立测试或120个重复实验"
"result-count-abstract","sec:abstract","共有120个候选","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trial_count","同一次验证集搜索；不是独立测试或120个重复实验"
"result-state-abstract","sec:abstract","120个候选均COMPLETE","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:state_counts.COMPLETE","同一次验证集搜索；不是独立测试或120个重复实验"
"result-best-abstract","sec:abstract","按Keywords/KL/编号顺序最低关键词展示候选为trial66","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:best_keyword_trial","同一次验证集搜索；不是独立测试或120个重复实验"
"result-kl-introduction","sec:introduction","trial 66 对应首token KL为0.089975","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].kl","同一次验证集搜索；不是独立测试或120个重复实验"
"result-count-introduction","sec:introduction","共有120个候选","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trial_count","同一次验证集搜索；不是独立测试或120个重复实验"
"result-state-introduction","sec:introduction","120个候选均COMPLETE","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:state_counts.COMPLETE","同一次验证集搜索；不是独立测试或120个重复实验"
"result-best-introduction","sec:introduction","按Keywords/KL/编号顺序最低关键词展示候选为trial66","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:best_keyword_trial","同一次验证集搜索；不是独立测试或120个重复实验"
"result-kl-experiments","sec:experiments","trial 66 对应首token KL为0.089975","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].kl","同一次验证集搜索；不是独立测试或120个重复实验"
"result-count-experiments","sec:experiments","共有120个候选","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trial_count","同一次验证集搜索；不是独立测试或120个重复实验"
"result-state-experiments","sec:experiments","120个候选均COMPLETE","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:state_counts.COMPLETE","同一次验证集搜索；不是独立测试或120个重复实验"
"result-best-experiments","sec:experiments","按Keywords/KL/编号顺序最低关键词展示候选为trial66","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:best_keyword_trial","同一次验证集搜索；不是独立测试或120个重复实验"
"result-kl-conclusion","sec:conclusion","trial 66 对应首token KL为0.089975","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].kl","同一次验证集搜索；不是独立测试或120个重复实验"
"result-count-conclusion","sec:conclusion","共有120个候选","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trial_count","同一次验证集搜索；不是独立测试或120个重复实验"
"result-state-conclusion","sec:conclusion","120个候选均COMPLETE","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:state_counts.COMPLETE","同一次验证集搜索；不是独立测试或120个重复实验"
"result-best-conclusion","sec:conclusion","按Keywords/KL/编号顺序最低关键词展示候选为trial66","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:best_keyword_trial","同一次验证集搜索；不是独立测试或120个重复实验"
"gate-abstract-selected","sec:abstract","机器验收未选中任何候选","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:selected_trial_number",""
"gate-introduction-selected","sec:introduction","机器验收未选中任何候选","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:selected_trial_number",""
"gate-experiments-selected","sec:experiments","机器验收未选中任何候选","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:selected_trial_number",""
"gate-conclusion-selected","sec:conclusion","机器验收未选中任何候选","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:selected_trial_number",""
"gates-keywords","tab:distribution","Keywords门槛通过0/120","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:gate_counts.keywords","数值条件不等于完整机器验收"
"gates-kl","tab:distribution","KL门槛通过120/120","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:gate_counts.kl","数值条件不等于完整机器验收"
"v2-steps","tab:protocol","v2模板最多8个续写预测位置","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.ara_trajectory_tokens","模板及代码均无本轮运行结果"
"v2-budget","tab:protocol","v2固定8anchors+24startup+88TPE搜索协议","implemented","repo:src/heretic/study_runner.py","src/heretic/study_runner.py","symbol:prepare_trajectory_study","模板及代码均无本轮运行结果"
"v2-audit-config","tab:protocol","v2模板独立audit使用test[:100]","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.acceptance_gate.keyword_audit_prompts.split","模板及代码均无本轮运行结果"
"protocol-v1-quantization","tab:protocol","本轮quantization=none","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.quantization","本地模型标签Qwen3.8-27B，model revision未知"
"protocol-v1-seed","tab:protocol","本轮seed=42","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.seed","本地模型标签Qwen3.8-27B，model revision未知"
"protocol-v1-ara_lora_rank","tab:protocol","本轮LoRA秩上界128","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.ara_lora_rank","本地模型标签Qwen3.8-27B，model revision未知"
"protocol-v1-ara_calibration_size","tab:protocol","本轮每类校准64条","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.ara_calibration_size","本地模型标签Qwen3.8-27B，model revision未知"
"protocol-v1-max_response_length","tab:protocol","本轮最多生成100个新token","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.max_response_length","本地模型标签Qwen3.8-27B，model revision未知"
"batch-auto","sec:experiments","本轮评估batch配置为自动0","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.batch_size","评估batch与采集batch分开"
"batch-capture","sec:experiments","模块采集batch始终为1","measured","repo:docs/logs/ara-v1/config.toml","docs/logs/ara-v1/config.toml","summary:archived_config.ara_capture_batch_size","评估batch与采集batch分开"
"null-reload_scores","sec:discussion","reload无评分记录","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:reload_scores","null不是0"
"null-validation_replay_scores","sec:discussion","validation replay无评分记录","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:validation_replay_scores","null不是0"
"null-artifact_hashes","sec:discussion","没有产物哈希记录","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:artifact_hashes","null不是0"
"trajectory-same-step","sec:adaptation","按同一步构建参考集合，每步使用自身good尺度","implemented","repo:src/heretic/ara_trajectory.py","src/heretic/ara_trajectory.py","symbol:build_trajectory_bank","最多8步与0.85衰减来自当前模板"
"gate-figure-count","fig:architecture","120个候选均完成后执行最终候选门槛","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:state_counts.COMPLETE","同一次验证集搜索；不是独立测试或120个重复实验"
"gate-figure-none","fig:architecture","没有候选满足数值验收门槛","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:numerical_gate_count","同一次验证集搜索；不是独立测试或120个重复实验"
"v2-decay","sec:adaptation","v2模板逐步权重衰减0.85","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.ara_trajectory_decay","模板及代码均无本轮运行结果"
"v2-good-limit","sec:adaptation","v2部署good delta比率上限0.60","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.ara_max_good_delta_rms","模板及代码均无本轮运行结果"
"v2-singular-limit","sec:adaptation","v2部署最大奇异值上限8.0","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.ara_max_singular_value","模板及代码均无本轮运行结果"
"v2-targets","sec:adaptation","v2模板目标数16/48/64，总计128，作为配置检查条件","implemented","repo:config.qwen38-27b-cara-v2.toml","config.qwen38-27b-cara-v2.toml","summary:v2_template.ara_runtime_guard","模板及代码均无本轮运行结果"
