claim_id,section,claim_text,evidence_class,source,source_revision,accessed_at,locator,verification_status,notes
C24,Qwen Case,"The primary card reports 99/100 base refusals, 4/100 derived refusals and first-token KL 0.0796",third-party-report,"https://huggingface.co/sss22213/Qwen3.8-27B-Heretic-NoRefusal/blob/a19c62b58f9b2cbaac9ab6343aeacef4442f3f94/README.md",a19c62b58f9b2cbaac9ab6343aeacef4442f3f94,2026-08-31,opening comparison table,source-reported,Not independently reproduced
C25,Qwen Case,"The primary card reports one RTX 5090 32 GB, Heretic bedb94e, 350 trials with 60 startup, 4-bit search, CPU BF16 merge, and export of trial 198",third-party-report,"https://huggingface.co/sss22213/Qwen3.8-27B-Heretic-NoRefusal/blob/a19c62b58f9b2cbaac9ab6343aeacef4442f3f94/README.md",a19c62b58f9b2cbaac9ab6343aeacef4442f3f94,2026-08-31,How it was made / Search / Pareto Results,source-reported,Base model revision not reported
C26,Qwen Case,"The primary card reports 400 harmful and 400 harmless direction prompts plus separate 100 harmful and 100 harmless held-out evaluation prompts",third-party-report,"https://huggingface.co/sss22213/Qwen3.8-27B-Heretic-NoRefusal/blob/a19c62b58f9b2cbaac9ab6343aeacef4442f3f94/README.md",a19c62b58f9b2cbaac9ab6343aeacef4442f3f94,2026-08-31,How it was made / Data table,source-reported,Dataset commits not reported
C27,Discussion,"The primary card states no MMLU, GSM8K, coding or vision benchmark and warns that first-token KL and keyword refusal are proxies",third-party-report,"https://huggingface.co/sss22213/Qwen3.8-27B-Heretic-NoRefusal/blob/a19c62b58f9b2cbaac9ab6343aeacef4442f3f94/README.md",a19c62b58f9b2cbaac9ab6343aeacef4442f3f94,2026-08-31,Limitations and caveats,source-reported,
C28,Qwen Case,"The auxiliary card reports unified handling of Gated Attention and Gated DeltaNet outputs and MLP down projections over 64 language layers",third-party-report,"https://huggingface.co/gjtgjt/Qwen3.8-27B-heretic/blob/1d759df09209def0a089f5c9250130af82ebf41c/README.md",1d759df09209def0a089f5c9250130af82ebf41c,2026-08-31,Method / hooked modules,source-reported,Consistent with code mapping
C29,Qwen Case,"The auxiliary card uses an explicit newline-close-think response prefix to move residual and KL measurement to the instruct answer cut",third-party-report,"https://huggingface.co/gjtgjt/Qwen3.8-27B-heretic/blob/1d759df09209def0a089f5c9250130af82ebf41c/README.md",1d759df09209def0a089f5c9250130af82ebf41c,2026-08-31,Instruct cut point,source-reported,Shell syntax is not reproduced as a cross-platform command
C30,Qwen Case,"The auxiliary card reports 200 trials with 60 startup and 98 to 27 keyword matches per 100 with KL 0.0446",third-party-report,"https://huggingface.co/gjtgjt/Qwen3.8-27B-heretic/blob/1d759df09209def0a089f5c9250130af82ebf41c/README.md",1d759df09209def0a089f5c9250130af82ebf41c,2026-08-31,Method and Evaluation,source-reported,Not merged with the primary case
C31,Background,"Arditi et al. report a one-dimensional refusal subspace across 13 open-source chat models up to 72B",peer-reviewed,"https://proceedings.neurips.cc/paper_files/paper/2024/hash/f545448535dfde4f9786555403ab7c49-Abstract-Conference.html",NeurIPS-2024,2026-08-31,abstract,verified,Does not directly test Qwen3.8-27B
C32,Background,"Optuna is a define-by-run hyperparameter optimization framework presented at KDD 2019",peer-reviewed,https://doi.org/10.1145/3292500.3330701,10.1145/3292500.3330701,2026-08-31,title and publication metadata,verified,
C33,Related Work,"Piras et al. extend refusal suppression to multiple directions using self-organizing maps",peer-reviewed,https://doi.org/10.1609/aaai.v40i39.40551,10.1609/aaai.v40i39.40551,2026-08-31,abstract and pages 32728-32736,verified,AAAI-26
C34,Abstract,"IEEE recommends a single-paragraph self-contained abstract up to 250 words with 3-5 keywords",official-external,https://conferences.ieeeauthorcenter.ieee.org/write-your-paper/structure-your-paper/,updated-2025-12-08,2026-08-31,Abstract section,verified,Chinese character target is internal only
C35,Formatting,"IEEE provides conference templates in Word and LaTeX",official-external,https://conferences.ieeeauthorcenter.ieee.org/write-your-paper/authoring-tools-and-templates/,updated-2026-06-01,2026-08-31,Write section,verified,Specific venue rules still govern submission
C36,Discussion,"The repository snapshot contains no Qwen3.8-27B integration test",author-inference,tests/,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,file inventory under tests,reviewed-inference,Existing Qwen test targets are qwen2.5 and qwen3.5-moe
C37,Discussion,"Model-class architecture probing does not pass model_commit even though later model/tokenizer loads can use the revision",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 40-47 and 70-80,verified,Version-freezing boundary
C38,Method,"PRE normalization uses A=v^T D_s^-1 W and B=-lambda D_s v rather than the unnormalized factors",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 562-579,verified,Implementation issue found while writing
C39,Discussion,"create_reproduce_folder queries current Hub model_info and overwrites settings.model_commit",code,src/heretic/utils.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 631-645,verified,An explicitly loaded older revision could be recorded as current Hub HEAD
